x-axis,1,2
second,Volt,Volt
-25.02000E-03,,
-24.99500E-03,+3.60201009E+00,-806.51759E-03
-24.97000E-03,+3.60201009E+00,-816.16583E-03
-24.94500E-03,+3.60201009E+00,-806.51759E-03
-24.92000E-03,+3.60201009E+00,-816.16583E-03
-24.89500E-03,+3.60201009E+00,-811.94472E-03
-24.87000E-03,+3.60201009E+00,-806.51759E-03
-24.84500E-03,+3.60201009E+00,-806.51759E-03
-24.82000E-03,+3.60201009E+00,-806.51759E-03
-24.79500E-03,+3.60201009E+00,-806.51759E-03
-24.77000E-03,+3.60201009E+00,-806.51759E-03
-24.74500E-03,+3.60201009E+00,-811.34171E-03
-24.72000E-03,+3.60201009E+00,-806.51759E-03
-24.69500E-03,+3.60201009E+00,-802.29648E-03
-24.67000E-03,+3.60201009E+00,-806.51759E-03
-24.64500E-03,+3.60201009E+00,-796.86935E-03
-24.62000E-03,+3.60201009E+00,-807.12060E-03
-24.59500E-03,+3.60201009E+00,-806.51759E-03
-24.57000E-03,+3.60201009E+00,-806.51759E-03
-24.54500E-03,+3.60201009E+00,-806.51759E-03
-24.52000E-03,+3.60201009E+00,-806.51759E-03
-24.49500E-03,+3.60201009E+00,-806.51759E-03
-24.47000E-03,+3.60201009E+00,-806.51759E-03
-24.44500E-03,+3.60201009E+00,-806.51759E-03
-24.42000E-03,+3.60201009E+00,-806.51759E-03
-24.39500E-03,+3.60201009E+00,-802.29648E-03
-24.37000E-03,+3.60201009E+00,-806.51759E-03
-24.34500E-03,+3.60201009E+00,-806.51759E-03
-24.32000E-03,+3.60201009E+00,-806.51759E-03
-24.29500E-03,+3.60201009E+00,-796.86935E-03
-24.27000E-03,+3.60201009E+00,-796.86935E-03
-24.24500E-03,+3.60201009E+00,-802.29648E-03
-24.22000E-03,+3.60201009E+00,-796.86935E-03
-24.19500E-03,+3.64221110E+00,-796.86935E-03
-24.17000E-03,+3.60201009E+00,-797.47236E-03
-24.14500E-03,+3.60201009E+00,-806.51759E-03
-24.12000E-03,+3.60201009E+00,-806.51759E-03
-24.09500E-03,+3.63718597E+00,-806.51759E-03
-24.07000E-03,+3.60201009E+00,-796.86935E-03
-24.04500E-03,+3.60201009E+00,-796.86935E-03
-24.02000E-03,+3.60201009E+00,-796.86935E-03
-23.99500E-03,+3.60201009E+00,-801.69347E-03
-23.97000E-03,+3.60201009E+00,-796.86935E-03
-23.94500E-03,+3.60201009E+00,-787.22110E-03
-23.92000E-03,+3.60201009E+00,-796.86935E-03
-23.89500E-03,+3.60201009E+00,-796.86935E-03
