Filename:  live_data.mca,,,,,,,
Description:  ,,,,,,,
TimeStamp:  11/14/2013 16:21:36,,,,,,,
,,,,,,,
ROI Information,,,,,,,
Start,End,FWHM (N),Net Area,Gross Area,Centroid (N),Uncertainty,Status
851,930,14.16,5029,9514,889.83,2.35,GOOD
,,,,,,,
Spectral Data Information,,,,,,,
Channel,Data,,,,,,
0,0,,,,,,
1,0,,,,,,
2,0,,,,,,
3,0,,,,,,
4,0,,,,,,
5,0,,,,,,
6,0,,,,,,
7,0,,,,,,
8,0,,,,,,
9,0,,,,,,
10,0,,,,,,
11,0,,,,,,
12,0,,,,,,
13,0,,,,,,
14,0,,,,,,
15,0,,,,,,
16,0,,,,,,
17,0,,,,,,
18,0,,,,,,
19,0,,,,,,
20,0,,,,,,
21,0,,,,,,
22,0,,,,,,
23,0,,,,,,
24,0,,,,,,
25,0,,,,,,
26,0,,,,,,
27,0,,,,,,
28,0,,,,,,
29,0,,,,,,
30,0,,,,,,
31,0,,,,,,
32,0,,,,,,
33,0,,,,,,
34,0,,,,,,
35,0,,,,,,
36,0,,,,,,
37,0,,,,,,
38,0,,,,,,
39,0,,,,,,
40,0,,,,,,
41,0,,,,,,
42,0,,,,,,
43,0,,,,,,
44,0,,,,,,
45,0,,,,,,
46,0,,,,,,
47,0,,,,,,
48,0,,,,,,
49,0,,,,,,
50,0,,,,,,
51,569,,,,,,
52,598,,,,,,
53,564,,,,,,
54,532,,,,,,
55,606,,,,,,
56,609,,,,,,
57,586,,,,,,
58,586,,,,,,
59,593,,,,,,
60,516,,,,,,
61,499,,,,,,
62,486,,,,,,
63,468,,,,,,
64,433,,,,,,
65,423,,,,,,
66,423,,,,,,
67,407,,,,,,
68,405,,,,,,
69,383,,,,,,
70,396,,,,,,
71,401,,,,,,
72,363,,,,,,
73,318,,,,,,
74,350,,,,,,
75,309,,,,,,
76,340,,,,,,
77,330,,,,,,
78,305,,,,,,
79,322,,,,,,
80,369,,,,,,
81,296,,,,,,
82,317,,,,,,
83,277,,,,,,
84,333,,,,,,
85,311,,,,,,
86,302,,,,,,
87,263,,,,,,
88,270,,,,,,
89,274,,,,,,
90,248,,,,,,
91,281,,,,,,
92,247,,,,,,
93,264,,,,,,
94,277,,,,,,
95,282,,,,,,
96,263,,,,,,
97,294,,,,,,
98,265,,,,,,
99,234,,,,,,
100,260,,,,,,
101,259,,,,,,
102,240,,,,,,
103,220,,,,,,
104,241,,,,,,
105,247,,,,,,
106,237,,,,,,
107,271,,,,,,
108,225,,,,,,
109,245,,,,,,
110,238,,,,,,
111,237,,,,,,
112,254,,,,,,
113,226,,,,,,
114,259,,,,,,
115,248,,,,,,
116,229,,,,,,
117,245,,,,,,
118,197,,,,,,
119,247,,,,,,
120,228,,,,,,
121,221,,,,,,
122,194,,,,,,
123,203,,,,,,
124,242,,,,,,
125,220,,,,,,
126,226,,,,,,
127,194,,,,,,
128,211,,,,,,
