14,0,9,0,17,1,12,0,13,0,16,,6,1,11,0,5,2,6,0,6,2,,59,10,100,9,65,20,70,11,87,14
15,1,14,0,17,1,17,3,10,0,19,,0,0,5,0,4,1,6,0,8,0,,67,13,51,9,71,11,44,16,43,17
21,5,14,3,16,3,18,0,12,0,11,,11,2,3,0,5,1,4,1,5,0,,35,8,38,17,42,16,36,12,42,12
22,13,13,3,13,5,19,3,10,7,12,,7,3,7,0,3,2,9,8,4,1,,100,22,87,16,70,15,85,13,61,14
17,9,22,14,9,17,16,12,9,6,16,,5,6,3,3,9,4,9,5,9,8,,17,20,13,18,21,12,9,17,10,19
14,30,12,15,8,9,10,8,10,7,10,,7,3,7,6,6,5,4,5,1,6,,16,13,10,20,7,15,17,14,11,17
27,62,10,19,15,24,8,10,14,25,17,,11,10,8,7,7,9,6,12,7,6,,26,17,41,17,27,16,34,14,50,11
18,170,13,59,16,71,11,57,17,78,18,,7,27,8,19,5,20,4,43,4,29,,63,19,95,16,84,12,84,21,94,12
19,56,14,156,7,142,9,141,16,105,19,,5,64,4,44,5,56,9,72,6,51,,29,20,53,11,38,11,52,20,58,17
9,4,20,74,21,36,15,69,17,26,16,,4,36,8,40,4,46,6,28,7,31,,76,13,98,18,95,19,104,16,108,14
19,4,8,7,7,5,13,7,20,4,9,,6,3,12,14,2,11,7,1,6,11,,28,14,31,18,29,15,27,16,46,16
14,0,14,2,18,0,17,2,13,2,15,,7,1,4,2,5,1,9,1,8,4,,93,13,151,20,90,20,148,7,194,14
20,5,19,1,16,0,15,1,15,0,12,,8,0,11,0,6,0,9,0,7,1,,362,17,460,10,456,21,472,16,469,18
15,10,9,3,16,1,15,0,13,0,16,,6,4,6,0,7,3,5,4,5,0,,356,14,312,8,385,12,297,17,275,17
15,11,17,6,21,3,17,3,19,6,9,,4,14,6,6,6,3,7,8,10,2,,123,11,100,17,94,16,99,19,103,11
22,10,15,16,11,8,24,14,12,11,8,,5,13,8,5,4,12,7,13,5,15,,58,21,44,12,51,18,45,14,36,15
13,2,16,12,10,7,10,8,18,12,14,,4,7,10,16,7,7,6,8,5,6,,21,10,21,14,15,13,34,5,38,17
21,0,10,7,14,4,12,7,21,5,20,,6,3,3,5,6,3,10,6,4,2,,13,15,27,26,25,12,17,20,20,15
15,0,17,4,17,0,20,1,14,0,6,,11,2,8,1,3,1,5,3,5,0,,24,13,37,17,35,18,46,16,60,15
12,4,10,0,25,0,15,0,17,0,12,,9,0,8,0,5,0,7,1,4,0,,84,8,88,9,89,14,124,14,91,19
17,3,15,5,10,4,14,3,8,5,13,,4,6,5,1,7,2,8,5,9,1,,63,9,53,6,70,20,56,10,35,16
13,5,16,6,14,5,16,9,16,9,16,,6,12,8,3,9,12,7,5,3,9,,8,12,14,12,12,11,8,15,6,14
16,2,14,11,17,5,11,3,16,3,16,,5,3,6,7,4,3,4,1,7,4,,6,12,7,14,1,19,1,12,9,14
22,1,6,0,19,0,11,2,17,2,18,,3,0,5,0,9,1,3,0,6,0,,20,12,24,7,17,15,21,10,20,23
12,1,8,0,13,0,14,3,13,0,10,,6,0,6,0,6,0,7,0,7,0,,23,13,21,11,23,15,23,13,14,18
22,1,15,1,14,0,18,1,16,0,11,,5,1,4,0,4,0,10,0,6,5,,3,23,1,13,1,13,3,16,0,16
15,2,16,0,17,0,16,0,18,1,10,,6,0,9,0,3,2,3,0,7,1,,6,15,4,10,1,17,1,15,2,13
15,6,12,3,13,2,14,3,14,1,22,,9,2,9,1,7,2,4,0,6,1,,7,13,11,8,17,17,11,9,17,12
22,4,14,3,19,0,16,2,10,3,16,,6,0,5,0,6,1,10,0,2,1,,32,11,18,22,22,9,14,13,21,14
18,2,11,0,10,3,11,1,15,4,19,,3,0,3,2,5,1,7,1,7,2,,30,9,21,17,24,18,30,14,20,10
9,0,14,0,14,1,14,1,15,2,8,,1,0,7,1,4,0,6,1,4,2,,31,13,22,17,36,14,16,15,13,8
15,1,10,0,11,0,12,1,19,0,16,,6,0,8,0,6,0,5,2,8,0,,2,20,3,12,2,15,2,15,7,14
14,2,18,0,17,0,14,0,5,0,11,,6,0,7,1,10,1,6,1,9,2,,2,18,3,12,2,14,2,16,4,8
26,0,15,0,18,0,17,1,13,1,12,,3,1,6,0,9,1,4,1,10,3,,7,15,5,19,7,6,5,16,6,14
9,0,14,1,18,0,19,0,19,1,18,,6,2,5,0,2,0,4,1,6,1,,2,19,4,14,2,15,3,16,1,8
13,6,12,1,18,0,25,0,14,2,21,,12,1,7,1,2,3,3,5,5,1,,0,16,1,21,2,19,1,15,0,20
17,4,12,1,13,3,12,4,14,1,15,,9,5,5,2,8,2,9,9,4,5,,2,8,2,16,3,15,2,6,6,10
22,2,8,3,14,8,18,3,19,0,15,,3,3,3,4,4,1,5,0,6,6,,6,18,10,24,12,29,6,35,13,24
13,0,4,7,13,1,8,2,7,1,9,,3,3,7,3,8,1,4,3,5,0,,22,83,26,65,27,94,34,124,36,101
1,1,2,2,10,0,3,3,3,1,4,,0,2,0,3,2,4,0,3,1,6,,48,447,59,448,49,484,58,489,52,463
0,3,0,1,1,1,0,2,0,0,0,,0,1,0,2,0,0,0,1,0,0,,49,567,47,500,44,514,36,478,38,573
0,0,0,3,0,2,0,1,0,3,0,,0,0,0,0,0,2,0,3,0,1,,37,335,27,300,32,180,24,239,27,263
0,4,0,2,0,1,0,0,0,1,0,,1,4,0,2,0,4,0,6,0,4,,40,34,52,38,66,36,97,58,130,41
0,2,0,3,2,2,0,1,0,2,0,,0,4,0,6,0,1,0,5,0,3,,83,19,75,24,70,34,57,34,53,29
0,8,1,6,0,7,0,8,0,2,0,,0,9,0,8,1,12,0,8,1,7,,30,13,22,11,41,19,46,25,53,29
2,13,2,4,1,1,1,2,1,4,1,,0,4,0,16,0,6,0,5,0,4,,100,110,105,78,92,155,60,127,70,124
2,3,1,6,0,9,1,3,4,5,2,,1,3,5,2,3,10,0,7,2,3,,71,177,73,177,53,240,42,274,28,228
5,3,5,4,3,4,2,4,9,2,4,,2,1,3,2,3,5,5,0,3,3,,6,113,5,142,6,74,3,81,5,98
3,7,2,4,3,4,4,2,4,1,5,,0,2,3,1,2,1,1,4,2,2,,8,44,8,42,19,25,17,33,26,47
1,4,2,5,4,2,0,7,3,4,4,,2,2,0,3,2,0,1,1,0,3,,42,7,38,8,52,6,56,1,56,7
9,6,7,6,4,3,7,1,13,6,8,,6,5,5,5,5,4,10,1,2,5,,146,8,240,5,293,17,343,12,335,15
8,0,7,4,4,2,4,1,4,2,2,,3,1,6,6,6,5,5,0,6,2,,177,74,154,62,189,58,141,75,130,90
11,1,6,0,6,1,7,0,5,0,11,,9,1,6,0,9,0,3,0,4,0,,52,91,44,85,37,96,25,79,29,104
4,1,3,0,4,0,0,0,2,0,5,,2,0,4,0,2,1,4,0,2,0,,19,26,16,37,19,30,26,34,27,23
1,0,1,3,10,0,4,1,1,2,2,,8,0,6,0,2,0,4,1,6,1,,21,63,36,69,40,94,34,92,42,127
4,0,6,0,1,0,1,0,3,0,2,,1,0,1,0,2,0,1,1,2,0,,85,58,105,57,145,15,194,27,276,49
1,0,3,0,2,0,0,0,0,0,1,,0,0,0,0,2,0,0,0,2,0,,400,14,407,33,447,29,520,47,562,31
2,7,2,0,0,3,0,0,0,1,0,,1,0,1,1,0,0,0,0,0,0,,530,41,562,39,494,50,447,46,509,71
4,19,2,5,1,5,1,4,2,8,1,,3,3,3,1,1,1,1,5,2,2,,292,58,267,39,150,40,115,49,98,68
6,13,2,17,3,17,2,20,1,22,0,,5,6,0,4,5,8,6,3,8,3,,67,15,61,25,47,17,31,35,28,19
2,17,3,17,1,15,3,18,4,15,2,,6,4,3,5,7,9,6,5,3,5,,26,8,16,12,19,6,29,8,23,7
3,15,1,21,7,24,1,17,1,12,3,,2,10,5,6,6,5,7,4,2,7,,19,3,20,0,25,0,19,0,11,0
0,17,2,12,2,23,0,9,1,22,0,,1,4,1,6,1,5,2,8,1,10,,22,1,19,3,19,3,28,0,15,1
0,21,0,11,1,19,0,13,0,13,0,,0,6,0,7,1,6,1,7,1,9,,21,4,19,2,22,1,32,1,20,3
0,17,0,20,1,23,0,25,0,10,0,,1,3,0,4,0,6,1,5,0,9,,20,10,22,2,21,11,26,11,15,15
0,18,0,11,0,21,0,12,0,13,0,,0,11,1,7,0,4,0,0,0,5,,19,2,18,1,19,5,18,3,13,1
0,20,0,12,0,22,1,23,1,21,0,,1,6,1,8,0,8,0,5,0,4,,12,6,24,4,15,0,20,8,10,7
5,17,1,21,0,17,0,26,1,20,3,,1,9,1,5,0,6,2,3,0,9,,23,9,23,6,15,36,13,34,23,20
2,16,3,14,1,16,2,17,4,20,2,,1,1,2,2,1,9,2,5,1,6,,18,17,16,22,16,26,24,30,26,26
3,15,2,16,0,22,4,19,4,9,4,,0,8,0,2,3,6,1,6,0,2,,17,17,16,22,11,14,13,23,24,25
2,26,6,18,2,21,5,16,1,18,8,,0,9,0,6,0,6,0,2,0,6,,21,17,16,23,14,9,31,16,16,15
0,13,0,17,2,17,0,22,2,10,0,,0,4,0,7,2,8,4,10,1,6,,18,4,16,2,17,3,16,1,17,2
1,13,1,10,1,15,1,29,0,17,1,,2,7,1,2,0,9,0,8,0,7,,11,3,19,0,16,4,24,4,18,5
1,12,0,13,1,18,1,18,0,15,0,,0,3,1,6,1,3,0,5,0,6,,19,14,20,12,17,21,19,20,13,25
0,16,0,11,0,9,0,13,0,21,1,,1,7,0,6,0,5,0,6,1,8,,23,18,18,19,18,23,10,22,19,24
2,13,3,12,0,13,5,12,3,17,2,,3,2,2,3,1,7,2,11,5,5,,12,6,16,12,12,3,23,5,20,7
4,10,5,12,2,23,7,21,4,16,7,,5,6,10,7,1,9,6,4,8,8,,23,3,13,4,20,15,17,9,12,5
5,13,6,11,7,17,3,15,4,26,8,,2,5,8,5,5,8,4,7,8,5,,12,21,26,19,19,58,12,33,21,43
1,16,1,15,5,19,1,19,1,13,1,,2,4,0,4,1,7,1,11,0,4,,19,79,22,73,17,85,11,108,24,101
0,17,0,15,5,18,0,19,3,16,0,,1,5,0,5,1,8,1,7,2,5,,12,72,21,80,17,37,19,34,13,68
5,19,3,20,0,18,2,17,4,18,1,,3,3,5,7,6,5,5,3,3,7,,17,38,15,32,20,23,15,32,22,37
4,22,7,18,2,12,9,16,9,11,5,,3,3,9,9,5,10,8,4,4,7,,18,25,23,36,23,34,15,24,12,26
9,13,10,11,6,15,11,18,6,11,3,,6,9,12,5,7,10,6,6,6,2,,13,21,23,10,20,30,12,29,11,8
9,24,8,12,9,19,14,14,11,11,10,,7,7,10,5,12,11,7,11,3,5,,15,90,11,63,11,96,12,120,16,112
3,22,4,13,17,9,3,17,1,17,3,,2,6,4,3,1,0,3,2,1,7,,17,111,13,93,20,228,14,201,19,137
1,12,2,14,12,12,0,19,0,13,1,,0,6,0,8,0,7,0,9,0,7,,18,445,22,367,14,421,20,488,17,513
