Filename:  C:\Users\csmuser\Desktop\Ian_Ryan_137Cs.mca,,,,,,,
Description:  ,,,,,,,
TimeStamp:  11/07/2013 16:36:34,,,,,,,
,,,,,,,
ROI Information,,,,,,,
Start,End,FWHM (N),Net Area,Gross Area,Centroid (N),Uncertainty,Status
276,43,,,,,,
277,67,,,,,,
278,58,,,,,,
279,43,,,,,,
280,54,,,,,,
281,46,,,,,,
282,46,,,,,,
283,38,,,,,,
284,53,,,,,,
285,46,,,,,,
286,50,,,,,,
287,56,,,,,,
288,49,,,,,,
289,50,,,,,,
290,47,,,,,,
291,49,,,,,,
292,47,,,,,,
293,41,,,,,,
294,46,,,,,,
295,49,,,,,,
296,45,,,,,,
297,43,,,,,,
298,44,,,,,,
299,40,,,,,,
300,38,,,,,,
301,45,,,,,,
302,51,,,,,,
303,43,,,,,,
304,43,,,,,,
305,43,,,,,,
306,44,,,,,,
307,55,,,,,,
308,40,,,,,,
309,52,,,,,,
310,56,,,,,,
311,42,,,,,,
312,45,,,,,,
313,40,,,,,,
314,42,,,,,,
315,32,,,,,,
316,38,,,,,,
317,55,,,,,,
318,47,,,,,,
319,46,,,,,,
320,41,,,,,,
321,51,,,,,,
322,51,,,,,,
323,42,,,,,,
324,51,,,,,,
325,54,,,,,,
326,49,,,,,,
327,34,,,,,,
328,48,,,,,,
329,54,,,,,,
330,50,,,,,,
331,58,,,,,,
332,52,,,,,,
333,60,,,,,,
334,35,,,,,,
335,49,,,,,,
336,43,,,,,,
337,50,,,,,,
338,49,,,,,,
339,50,,,,,,
340,49,,,,,,
341,61,,,,,,
342,40,,,,,,
343,64,,,,,,
344,55,,,,,,
345,49,,,,,,
346,49,,,,,,
347,47,,,,,,
348,49,,,,,,
349,54,,,,,,
350,38,,,,,,
351,53,,,,,,
352,52,,,,,,
353,46,,,,,,
354,53,,,,,,
355,58,,,,,,
356,50,,,,,,
357,55,,,,,,
358,39,,,,,,
359,50,,,,,,
360,69,,,,,,
361,50,,,,,,
362,63,,,,,,
363,58,,,,,,
364,55,,,,,,
365,53,,,,,,
366,59,,,,,,
367,67,,,,,,
368,50,,,,,,
369,58,,,,,,
370,59,,,,,,
371,54,,,,,,
372,54,,,,,,
373,69,,,,,,
374,52,,,,,,
375,48,,,,,,
376,58,,,,,,
377,54,,,,,,
378,50,,,,,,
379,55,,,,,,
380,50,,,,,,
381,63,,,,,,
382,61,,,,,,
383,52,,,,,,
384,52,,,,,,
385,61,,,,,,
386,40,,,,,,
387,43,,,,,,
388,44,,,,,,
389,47,,,,,,
390,52,,,,,,
391,42,,,,,,
392,32,,,,,,
393,44,,,,,,
394,51,,,,,,
395,27,,,,,,
396,32,,,,,,
397,38,,,,,,
398,27,,,,,,
399,32,,,,,,
400,27,,,,,,
401,27,,,,,,
402,22,,,,,,
403,23,,,,,,
404,29,,,,,,
405,28,,,,,,
406,28,,,,,,
407,23,,,,,,
408,18,,,,,,
409,18,,,,,,
410,14,,,,,,
411,23,,,,,,
412,20,,,,,,
413,25,,,,,,
414,15,,,,,,
415,18,,,,,,
416,18,,,,,,
417,14,,,,,,
418,16,,,,,,
419,16,,,,,,
420,14,,,,,,
421,15,,,,,,
422,14,,,,,,
423,13,,,,,,
424,14,,,,,,
425,15,,,,,,
426,10,,,,,,
427,14,,,,,,
428,13,,,,,,
429,10,,,,,,
430,9,,,,,,
431,11,,,,,,
432,7,,,,,,
433,13,,,,,,
434,4,,,,,,
435,10,,,,,,
436,14,,,,,,
437,8,,,,,,
438,9,,,,,,
439,11,,,,,,
440,10,,,,,,
441,8,,,,,,
442,11,,,,,,
443,12,,,,,,
444,10,,,,,,
445,9,,,,,,
446,6,,,,,,
447,7,,,,,,
448,8,,,,,,
449,14,,,,,,
450,12,,,,,,
451,11,,,,,,
452,7,,,,,,
453,7,,,,,,
454,11,,,,,,
455,13,,,,,,
456,3,,,,,,
457,7,,,,,,
458,6,,,,,,
459,11,,,,,,
460,9,,,,,,
461,12,,,,,,
462,9,,,,,,
463,7,,,,,,
464,10,,,,,,
465,9,,,,,,
466,7,,,,,,
467,3,,,,,,
468,4,,,,,,
469,14,,,,,,
470,4,,,,,,
471,5,,,,,,
472,4,,,,,,
473,9,,,,,,
474,2,,,,,,
475,4,,,,,,
476,3,,,,,,
477,7,,,,,,
478,5,,,,,,
479,4,,,,,,
480,5,,,,,,
481,7,,,,,,
482,9,,,,,,
483,11,,,,,,
484,9,,,,,,
485,5,,,,,,
486,16,,,,,,
487,17,,,,,,
488,18,,,,,,
489,13,,,,,,
490,15,,,,,,
491,19,,,,,,
492,28,,,,,,
493,21,,,,,,
494,16,,,,,,
495,33,,,,,,
496,39,,,,,,
497,35,,,,,,
498,51,,,,,,
499,63,,,,,,
500,62,,,,,,
501,63,,,,,,
502,83,,,,,,
503,84,,,,,,
504,91,,,,,,
505,88,,,,,,
506,141,,,,,,
507,125,,,,,,
508,111,,,,,,
509,149,,,,,,
510,139,,,,,,
511,170,,,,,,
512,198,,,,,,
513,178,,,,,,
514,203,,,,,,
515,229,,,,,,
516,214,,,,,,
517,240,,,,,,
518,246,,,,,,
519,224,,,,,,
520,264,,,,,,
521,239,,,,,,
522,263,,,,,,
523,272,,,,,,
524,265,,,,,,
525,255,,,,,,
526,253,,,,,,
527,254,,,,,,
528,260,,,,,,
529,291,,,,,,
530,236,,,,,,
531,270,,,,,,
532,266,,,,,,
533,249,,,,,,
534,271,,,,,,
535,230,,,,,,
536,197,,,,,,
537,210,,,,,,
538,185,,,,,,
539,196,,,,,,
540,164,,,,,,
541,174,,,,,,
542,143,,,,,,
543,168,,,,,,
544,166,,,,,,
545,132,,,,,,
546,144,,,,,,
547,132,,,,,,
548,99,,,,,,
549,97,,,,,,
550,81,,,,,,
551,88,,,,,,
552,75,,,,,,
553,60,,,,,,
554,63,,,,,,
555,48,,,,,,
556,62,,,,,,
557,52,,,,,,
558,50,,,,,,
559,27,,,,,,
560,19,,,,,,
561,22,,,,,,
562,23,,,,,,
563,26,,,,,,
564,17,,,,,,
565,15,,,,,,
566,14,,,,,,
567,16,,,,,,
568,6,,,,,,
569,6,,,,,,
570,4,,,,,,
571,3,,,,,,
572,2,,,,,,
573,3,,,,,,
574,3,,,,,,
575,5,,,,,,
576,4,,,,,,
577,1,,,,,,
578,1,,,,,,
579,0,,,,,,
580,1,,,,,,
581,0,,,,,,
582,1,,,,,,
583,0,,,,,,
584,0,,,,,,
585,1,,,,,,
586,0,,,,,,
587,0,,,,,,
588,0,,,,,,
589,1,,,,,,
590,1,,,,,,
591,0,,,,,,
592,0,,,,,,
593,0,,,,,,
594,0,,,,,,
595,1,,,,,,
596,0,,,,,,
597,2,,,,,,
598,1,,,,,,
599,1,,,,,,
600,0,,,,,,
601,0,,,,,,
602,1,,,,,,
603,0,,,,,,
604,2,,,,,,
605,0,,,,,,
606,2,,,,,,
607,1,,,,,,
608,0,,,,,,
609,0,,,,,,
610,0,,,,,,
611,0,,,,,,
612,0,,,,,,
613,1,,,,,,
614,0,,,,,,
615,0,,,,,,
616,0,,,,,,
617,0,,,,,,
618,0,,,,,,
619,0,,,,,,
620,0,,,,,,
621,3,,,,,,
622,0,,,,,,
623,1,,,,,,
624,0,,,,,,
625,0,,,,,,
626,0,,,,,,
627,0,,,,,,
628,2,,,,,,
629,0,,,,,,
630,2,,,,,,
631,1,,,,,,
632,0,,,,,,
633,0,,,,,,
634,0,,,,,,
635,0,,,,,,
636,0,,,,,,
637,1,,,,,,
638,1,,,,,,
639,0,,,,,,
640,0,,,,,,
641,0,,,,,,
642,0,,,,,,
643,1,,,,,,
644,0,,,,,,
645,0,,,,,,
646,0,,,,,,
647,0,,,,,,
648,2,,,,,,
649,0,,,,,,
650,0,,,,,,
651,0,,,,,,
652,0,,,,,,
653,0,,,,,,
654,0,,,,,,
655,1,,,,,,
656,1,,,,,,
657,0,,,,,,
658,0,,,,,,
659,0,,,,,,
660,1,,,,,,
661,0,,,,,,
662,0,,,,,,
663,0,,,,,,
664,0,,,,,,
665,1,,,,,,
666,0,,,,,,
667,0,,,,,,
668,1,,,,,,
669,0,,,,,,
670,0,,,,,,
671,0,,,,,,
672,0,,,,,,
673,0,,,,,,
674,0,,,,,,
675,0,,,,,,
676,0,,,,,,
677,0,,,,,,
678,0,,,,,,
679,0,,,,,,
680,0,,,,,,
681,0,,,,,,
682,1,,,,,,
683,0,,,,,,
684,0,,,,,,
685,1,,,,,,
686,0,,,,,,
687,0,,,,,,
688,0,,,,,,
689,0,,,,,,
690,0,,,,,,
691,1,,,,,,
692,1,,,,,,
693,0,,,,,,
694,0,,,,,,
695,1,,,,,,
696,0,,,,,,
697,0,,,,,,
698,0,,,,,,
699,1,,,,,,
700,0,,,,,,
701,0,,,,,,
702,0,,,,,,
703,0,,,,,,
704,0,,,,,,
705,0,,,,,,
706,0,,,,,,
707,0,,,,,,
708,0,,,,,,
709,0,,,,,,
710,0,,,,,,
711,0,,,,,,
712,0,,,,,,
713,1,,,,,,
714,0,,,,,,
715,0,,,,,,
716,0,,,,,,
717,0,,,,,,
718,0,,,,,,
719,0,,,,,,
720,0,,,,,,
721,0,,,,,,
722,0,,,,,,
723,0,,,,,,
724,1,,,,,,
725,0,,,,,,
726,0,,,,,,
727,0,,,,,,
728,0,,,,,,
729,0,,,,,,
730,1,,,,,,
731,0,,,,,,
732,0,,,,,,
733,1,,,,,,
734,0,,,,,,
735,1,,,,,,
736,1,,,,,,
737,1,,,,,,
738,0,,,,,,
739,1,,,,,,
740,0,,,,,,
741,0,,,,,,
742,0,,,,,,
743,0,,,,,,
744,0,,,,,,
745,1,,,,,,
746,1,,,,,,
747,0,,,,,,
748,1,,,,,,
749,0,,,,,,
750,0,,,,,,
751,0,,,,,,
752,0,,,,,,
753,0,,,,,,
754,1,,,,,,
755,0,,,,,,
