q_A,Omega_A,kT_A/e,e/kT_A,Omega_B,kT_B/e,e/kT_B,Omega_tot
52,2.862000e+03,27.244647013359092,0.03670445792561239,4.348336e+136,0.1860228174781852,5.375684625985571,1.244494e+140
53,2.970000e+03,27.744743509340303,0.03604286338647711,2.033955e+134,0.18527687494479417,5.39732764975642,6.040846e+137
54,3.080000e+03,28.244836587166954,0.035404701206674716,9.312425e+131,0.1845204336159475,5.419453988935203,2.868227e+135
55,3.192000e+03,28.744926425338157,0.03478874794121989,4.171403e+129,0.18375308091400885,5.442085623957354,1.331512e+133
56,3.306000e+03,29.245013190134827,0.03419386387342538,1.827195e+127,0.18297437795477034,5.465246069846955,6.040706e+130
57,3.422000e+03,29.745097036646957,0.033618985971636484,7.822519e+124,0.18218385719861455,5.48896052250015,2.676866e+128
58,3.540000e+03,30.24517810970083,0.033063121545290564,3.271391e+122,0.1813810198291983,5.513256022827932,1.158072e+126
59,3.660000e+03,30.74525654469145,0.03252534252060624,1.335660e+120,0.1805653328204122,5.538161641440809,4.888517e+123
60,3.782000e+03,31.24533246834377,0.03200478026640141,5.320826e+117,0.17973622564554392,5.563708687040588,2.012337e+121
61,3.906000e+03,31.74540599939202,0.031500620909342025,2.066855e+115,0.1788930865743918,5.589930942267884,8.073135e+118
62,4.032000e+03,32.24547724919663,0.031012101085429403,7.823537e+112,0.17803525849415872,5.616864931464178,3.154450e+116
63,4.160000e+03,32.745546322316365,0.03053850408104175,2.883750e+110,0.17716203417784443,5.644550225677293,1.199640e+114
64,4.290000e+03,33.2456133170135,0.030079156322504907,1.034323e+108,0.17627265090914662,5.673029791305595,4.437246e+111
65,4.422000e+03,33.745678325721784,0.029633424177986534,3.607145e+105,0.1753662843547509,5.702350390096001,1.595080e+109
66,4.556000e+03,34.24574143547287,0.029200711039772287,1.222152e+103,0.1744420415524733,5.732563039851797,5.568124e+106
67,4.692000e+03,34.74580272828688,0.028780454658654083,4.019435e+100,0.17349895285591146,5.763723547256717,1.885919e+104
68,4.830000e+03,35.245862281526335,0.028372124705376752,1.281989e+98,0.17253596264142096,5.795893126804444,6.192005e+101
69,4.970000e+03,35.74592016822423,0.02797522053688617,3.961488e+95,0.1715519185393838,5.829139123095416,1.968860e+99
70,5.112000e+03,36.245976457378575,0.02758926914759474,1.184774e+93,0.1705455588961149,5.863535857941244,6.056563e+96
71,5.256000e+03,36.746031214229525,0.027213823288017025,3.425567e+90,0.16951549810166586,5.899165629093432,1.800478e+94
72,5.402000e+03,37.24608450051531,0.026848459735040464,9.563852e+87,0.16846020932720251,5.936119894388156,5.166393e+91
73,5.550000e+03,37.746136374699404,0.02649277769976699,2.575030e+85,0.16737800409660047,5.9745006842288575,1.429142e+89
74,5.700000e+03,38.246186892184554,0.026146397360316872,6.677050e+82,0.1662670079608119,6.014422297391036,3.805918e+86
75,5.852000e+03,38.746236105513916,0.025808958508299895,1.664934e+80,0.16512513133673584,6.0560133512367855,9.743191e+83
76,6.006000e+03,39.246284064555695,0.02548011929881344,3.985876e+77,0.16395003429543992,6.099419279156649,2.393917e+81
77,6.162000e+03,39.746330816659366,0.025159555094853125,9.145565e+74,0.16273908370950066,6.144805397731389,5.635497e+78
78,6.320000e+03,40.24637640682481,0.024846957397894442,2.007407e+72,0.16148930065480568,6.192360707150301,1.268681e+76
79,6.480000e+03,40.7464208778431,0.02454203285726564,4.206302e+69,0.16019729524691526,6.242302645988375,2.725683e+73
80,6.642000e+03,41.246464270427644,0.024244502351610464,8.394974e+66,0.1588591850827313,6.29488310341776,5.575941e+70
81,6.806000e+03,41.74650662334249,0.023954100136389656,1.591861e+64,0.15747049201055158,6.350396110612224,1.083421e+68
82,6.972000e+03,42.24654797351253,0.02367057305195619,2.859916e+61,0.1560260098375633,6.409187808116656,1.993934e+65
83,7.140000e+03,42.74658835613593,0.023393679787230507,4.853122e+58,0.1545196324350981,6.471669549304835,3.465129e+62
84,7.310000e+03,43.24662780478353,0.02312319019448239,7.751818e+55,0.1529441269072922,6.538335405361166,5.666579e+59
85,7.482000e+03,43.74666635148647,0.02285888465112773,1.160915e+53,0.15129082900509486,6.609785976956502,8.685967e+56
86,7.656000e+03,44.246704026834244,0.022600553464807938,1.622847e+50,0.14954922595629563,6.686761456674076,1.242452e+54
87,7.832000e+03,44.74674086004614,0.022347996318384133,2.106752e+47,0.1477063719821127,6.770188628836543,1.650008e+51
88,8.010000e+03,45.246776879043836,0.022101021751742778,2.524820e+44,0.14574604757512935,6.861249527089362,2.022381e+48
89,8.190000e+03,45.74681211053624,0.0218594466775901,2.773973e+41,0.1436475123049055,6.961484984699248,2.271884e+45
90,8.372000e+03,46.246846580069615,0.0216230959286845,2.770925e+38,0.14138358536005405,7.072956860256113,2.319818e+42
91,8.556000e+03,46.74688031210029,0.021391801834124813,2.491341e+35,0.13891755675875872,7.198514164315305,2.131591e+39
92,8.742000e+03,47.24691333005355,0.021165403822558382,1.991281e+32,0.1361979339861695,7.3422552804769206,1.740778e+36
93,8.930000e+03,47.74694565636266,0.020943748050337163,1.392782e+29,0.13314885171598168,7.510391468738227,1.243755e+33
94,9.120000e+03,48.246977312539414,0.020726687052788684,8.350848e+25,0.12965083335286084,7.713024082755996,7.615973e+29
95,9.312000e+03,48.74700831920869,0.020514079416971143,4.172920e+22,0.12549670112481456,7.968336944613672,3.885823e+26
96,9.506000e+03,49.24703869615673,0.020305789474363678,1.668334e+19,0.12026732190645902,8.314810574877319,1.585918e+23
97,9.702000e+03,49.747068462379524,0.020101687012094693,5.003001e+15,0.11281567130274459,8.86401674920204,4.853911e+19
