q,Omega,S/k,kT/e,q_cut,C/(Nk)
49,1.006433e+44,101.3201565335034,0.9102031278689731,50,91.63238971599226
50,3.039428e+44,102.42541336489018,0.9211287679299032,51,91.83819176090223
51,9.058687e+44,103.51746825301213,0.9320294712198215,52,92.03698616286553
52,2.665344e+45,104.59666245582314,0.9429062001904047,53,92.2291008615662
53,7.744586e+45,105.66332314468464,0.9537598655252246,54,92.4148440910039
54,2.222983e+46,106.71776421503962,0.9645913297353838,55,92.5945058328583
55,6.305188e+46,107.76028703705667,0.9754014104487927,56,92.76835914317087
56,1.767704e+47,108.79118115166983,0.9861908834239167,57,92.93666136420852
57,4.899953e+47,109.81072491686226,0.9969604853151851,58,93.09965523281757
58,1.343263e+48,110.81918610853607,1.007710916214445,59,93.25756989625783
59,3.642747e+48,111.81682247986417,1.018442841989853,60,93.41062184442492
60,9.774704e+48,112.80388228262653,1.0291568964413034,61,93.55901576588583
61,2.595905e+49,113.78060475368561,1.0398536832893681,62,93.7029453351399
62,6.824718e+49,114.74722056944728,1.0505337780130872,63,93.84259393795004
63,1.776593e+50,115.70395227087995,1.0611977295500994,64,93.97813533969263
64,4.580279e+50,116.65101466142086,1.0718460618713364,65,94.10973430219269
65,1.169733e+51,117.58861517988176,1.082479275441288,66,94.23754715409227
66,2.959779e+51,118.51695425027208,1.093097848573633,67,94.36172231832896
67,7.421535e+51,119.43622561028438,1.1037022386910604,68,94.4824008002141
68,1.844470e+52,120.34661662003136,1.1142928834973598,69,94.59971664000092
69,4.544346e+52,121.24830855248436,1.1248702020690133,70,94.71379733263893
70,1.110119e+53,122.14147686693765,1.135434595872789,71,94.8247642178457
71,2.689302e+53,123.02629146670978,1.14598644971534,72,94.93273284290007
72,6.461794e+53,123.90291694219151,1.1565261326300573,73,95.03781329945082
73,1.540208e+54,124.77151280025765,1.1670539987061577,74,95.1401105373199
74,3.642385e+54,125.632233680977,1.177570387864532,75,95.2397246573741
75,8.547463e+54,126.48522956247884,1.188075626584291,76,95.33675118475468
76,1.990659e+55,127.33064595476634,1.198570028583728,77,95.43128132321289
77,4.601784e+55,128.16862408320475,1.2090538954590522,78,95.52340219291034
78,1.056050e+56,128.9993010623559,1.2195275172841706,79,95.61319705382488
79,2.406191e+56,129.8228100607791,1.2299911731741087,80,95.70074551303148
80,5.444006e+56,130.63928045737103,1.2404451318146639,81,95.78612371991083
81,1.223221e+57,131.44883798977537,1.250889651961065,82,95.86940454949806
82,2.729872e+57,132.25160489535256,1.2613249829071689,83,95.95065777263551
83,6.051764e+57,133.04770004516493,1.2717513649277643,84,96.02995021732627
84,1.332829e+58,133.83723907139995,1.2821690296956672,85,96.10734591967338
85,2.916543e+58,134.62033448862283,1.2925782006750888,86,96.18290626535988
86,6.341786e+58,135.3970958092239,1.3029790934932004,87,96.2566901227652
87,1.370409e+59,136.16762965339927,1.313371916291065,88,96.32875396881397
88,2.943265e+59,136.9320398539807,1.3237568700555278,89,96.39915200709561
89,6.283374e+59,137.69042755640908,1.3341341489329146,90,96.46793627781702
90,1.333472e+60,138.44289131412543,1.3445039405261558,91,96.53515676366396
91,2.813478e+60,139.18952717963637,1.3548664261762073,92,96.60086148901902
92,5.902188e+60,139.93042879149223,1.365221781228444,93,96.66509661159792
93,1.231209e+61,140.6656874574023,1.3755701752853946,94,96.72790651089122
94,2.554104e+61,141.39539223369601,1.3859117724466397,95,96.78933387202095
95,5.269520e+61,142.119630001326,1.3962467315362508,96,96.84941976360271
96,1.081349e+62,142.83848553859613,1.4065752063188521,97,96.90820371238706
97,2.207291e+62,143.5520415907873,1.4168973457049443,98,96.96572377294625
98,4.482151e+62,144.26037893684122,1.4272132939459408,99,97.02201659402897
99,9.054851e+62,144.96357645325466,1.4375231908198962,100,97.07711748189595
100,1.820025e+63,145.66171117532565,1.447827171808,101,97.13106046011777
101,3.640050e+63,146.3548583558856,1.4581253682627213,102,97.18387832580191
102,7.244414e+63,147.04309152164313,1.4684179075677646,103,97.23560270237608
103,1.434816e+64,147.7264825272577,1.4787049132907057,104,97.2862640917745
104,2.828243e+64,148.40510160725475,1.4889865053284193,105,97.33589192200303
105,5.548743e+64,149.0790174258868,1.4992628000455441,106,97.38451459210611
106,1.083575e+65,149.7482971250401,1.5095339104069347,107,97.43215951743242
107,2.106389e+65,150.4130063702795,1.5197999461038982,108,97.47885316966259
108,4.076254e+65,151.0732093951201,1.5300610136745387,109,97.52462111575807
109,7.853333e+65,151.7289690436084,1.5403172166191657,110,97.56948805707489
110,1.506412e+66,152.38034681129207,1.5505686555101945,111,97.61347786313479
111,2.877111e+66,153.02740288465174,1.560815428097226,112,97.65661360600204
112,5.471649e+66,153.67019617906607,1.5710576294078793,113,97.69891759320197
113,1.036224e+67,154.30878437537558,1.5812953518438044,114,97.7404113973829
114,1.954282e+67,154.94322395510875,1.5915286852728745,115,97.7811158859399
115,3.670651e+67,155.57357023442967,1.6017577171173514,116,97.82105124948889
116,6.866649e+67,156.19987739686377,1.6119825324383432,117,97.86023702779963
117,1.279427e+68,156.8221985248551,1.6222032140165727,118,97.89869213451198
118,2.374529e+68,157.44058563020593,1.6324198424300598,119,97.936434882506
119,4.389886e+68,158.05508968344677,1.6426324961284524,120,97.97348300702933
120,8.084708e+68,158.66576064218248,1.6528412515042148,121,98.00985368718604
121,1.483310e+69,159.27264747845803,1.663046182961006,122,98.0455635662677
122,2.711296e+69,159.87579820518488,1.6732473629793254,123,98.0806287732391
123,4.937645e+69,160.4752599016675,1.6834448621796554,124,98.11506494236731
124,8.959436e+69,161.0710787382669,1.6936387493826892,125,98.14888722931182
125,1.619866e+70,161.66330000023686,1.7038290916675,126,98.1821103297601
126,2.918330e+70,162.25196811076677,1.7140159544275846,127,98.21474849855433
127,5.239207e+70,162.83712665326263,1.724199401424366,128,98.24681556302673
128,9.373269e+70,163.41881839289726,1.7343794948385183,129,98.27832493801651
129,1.671203e+71,163.99708529745877,1.7445562953199953,130,98.30928964343478
130,2.969599e+71,164.571968557525,1.754729862035572,131,98.33972231635522
131,5.259137e+71,165.14350860599015,1.7649002527146012,132,98.36963522468552
132,9.283174e+71,165.71174513696948,1.775067523693453,133,98.39904028101716
133,1.633280e+72,166.27671712410543,1.7852317299578766,134,98.42794905445605
134,2.864335e+72,166.83846283829868,1.7953929251840388,135,98.45637278248185
135,5.007282e+72,167.39701986488586,1.805551161777933,136,98.48432238255887
136,8.725925e+72,167.95242512028494,1.815706490913487,137,98.51180846432625
137,1.515891e+73,168.5047148681283,1.8258589625691195,138,98.53884133759637
138,2.625347e+73,169.0539247349026,1.8360086255629007,139,98.56543102353803
139,4.532973e+73,169.6000897251139,1.8461555275870494,140,98.59158726705463
140,7.803189e+73,170.14324423599527,1.8562997152404002,141,98.61731954188613
141,1.339271e+74,170.68342207177378,1.866441234059982,142,98.64263706159983
142,2.291851e+74,171.22065645751306,1.8765801285520856,143,98.66754878964461
143,3.910570e+74,171.75498005254636,1.8867164422212466,144,98.69206344424632
144,6.653401e+74,172.28642496351506,1.8968502175989304,145,98.7161895085563
145,1.128784e+75,172.81502275702684,1.9069814962712093,146,98.73993523941492
146,1.909655e+75,173.34080447194648,1.9171103189050758,147,98.76330867272999
